"","case_id","year2020","continuous_treat","binary_treat","withdraw_school","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","days_ate","religion","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","urban","district","sdate","smonth","syear","poor","upoor","real_annual_consump","real_annual_consump_pc","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","popdensity","ill_2wks","cant_feed_fam"
"16","303015670486",0,0,0,1,0,7,1,1,3,1,0,0,0,1,5,5.71428571428571,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",26,"September",2016,1,1,472137.75,67448.25,3376.16040039062,3376.16040039062,0,0,-15.268513,35.49244,11,24,13,227,1196,250,1,1
"17","303015680013",0,0,0,1,45,7,3,1,7,2,2,0,7,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"March",2017,0,0,621983.375,155495.84375,21471.626953125,21471.626953125,0,0,-15.331859,35.457338,8,18,13,223,1247,250,1,1
"18","303015680026",0,0,0,0,36,7,0,7,7,2,7,7,1,2,7,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",29,"March",2017,0,0,413110.125,137703.375,3303.3271484375,0,0,3303.3271484375,-15.331859,35.457338,8,18,13,224,1243,150,1,1
"19","303015680039",0,0,0,0,15,7,0,3,4,3,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",1,"rural","Zomba Non-City",28,"March",2017,0,0,241022.1875,241022.1875,0,0,0,0,-15.331859,35.457338,8,18,13,224,1243,150,1,1
"20","303015680053",0,0,0,0,20,6,1,3,7,4,2,0,0,2,7,6.375,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",27,"March",2017,1,0,925589.5625,115698.6953125,5030.4951171875,5030.4951171875,0,0,-15.331859,35.457338,8,18,13,224,1243,150,1,1
"21","303015680066",0,0,0,1,12,5,0,7,7,3,2,0,3,3,7,5.25,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",30,"March",2017,0,0,806230.6875,201557.671875,14723.4013671875,14723.4013671875,0,0,-15.331859,35.457338,8,18,13,224,1243,150,1,1
"22","303015680079",0,0,0,0,15,7,0,0,5,4,0,0,3,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",30,"March",2017,0,0,573059.9375,143264.984375,10193.1240234375,7361.70068359375,0,2831.42333984375,-15.331859,35.457338,8,18,13,224,1243,150,1,1
"23","303015680092",0,0,0,1,17,7,0,2,5,2,4,0,0,0,7,5.5,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",29,"March",2017,0,0,866873.25,216718.3125,9815.6005859375,9815.6005859375,0,0,-15.331859,35.457338,8,18,13,224,1243,150,1,1
"24","303015680106",0,0,0,0,27,7,4,0,7,4,0,0,2,2,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",29,"March",2017,0,0,421776.5625,210888.28125,858.865051269531,858.865051269531,0,0,-15.331859,35.457338,8,18,13,223,1243,350,0,1
"25","303015680119",0,0,0,0,19,7,0,2,5,5,0,0,5,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"March",2017,1,0,585053.625,117010.7265625,6134.75048828125,6134.75048828125,0,0,-15.331859,35.457338,8,18,12,223,1243,350,1,1
"26","303015680132",0,0,0,0,38,7,0,4,5,2,0,0,7,2,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"March",2017,1,0,704599.8125,117433.3046875,9202.1259765625,9202.1259765625,0,0,-15.331859,35.457338,7,18,14,223,1243,350,1,1
"27","303015680145",0,0,0,0,68,7,0,4,5,3,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",28,"March",2017,0,0,689975.3125,137995.0625,0,0,0,0,-15.331859,35.457338,8,18,14,223,1243,350,1,0
"28","303015680159",0,0,0,0,13,7,0,3,5,3,3,0,5,7,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",28,"March",2017,0,0,522319.5625,261159.78125,20291.8671875,6134.75048828125,0,14157.1162109375,-15.331859,35.457338,7,18,13,223,1243,350,1,1
"29","303015680172",0,0,0,0,10,7,0,3,7,6,0,0,6,2,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"March",2017,1,0,543941.3125,135985.328125,6134.75048828125,6134.75048828125,0,0,-15.331859,35.457338,7,18,13,223,1243,350,1,1
"30","303015680185",0,0,0,0,0,7,0,1,7,1,0,0,4,0,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"March",2017,1,1,205462.5,51365.625,0,0,0,0,-15.331859,35.457338,7,17,14,223,1243,350,1,1
"31","303015680198",0,0,0,0,0,7,0,3,7,3,0,0,4,0,7,5.6,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",28,"March",2017,1,0,428981.625,85796.328125,0,0,0,0,-15.331859,35.457338,7,18,14,223,1243,350,1,1
"32","303015680212",0,0,0,0,0,7,2,4,7,5,2,0,6,7,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"March",2017,0,0,398251.8125,199125.90625,3680.85034179688,3680.85034179688,0,0,-15.331859,35.457338,8,18,12,223,1243,350,0,0
"33","303015690007",0,0,0,0,0,7,3,2,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",18,"May",2016,0,0,496839.46875,248419.734375,1120.16760253906,1120.16760253906,0,0,-15.389976,35.363563,2,9,15,218,1260,250,1,1
"34","303015690014",0,0,0,0,0,7,0,5,7,7,0,0,4,7,7,7,"christianity",1,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",19,"May",2016,0,0,882578.5625,147096.421875,7565.43994140625,5460.8173828125,488.996246337891,1615.62634277344,-15.389976,35.363563,2,9,12,218,1260,250,1,1
"35","303015690021",0,0,0,0,9,7,3,3,7,4,2,0,5,7,7,7,"christianity",0,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",20,"May",2016,0,0,799068,399534,43406.49609375,1400.20959472656,42006.28515625,0,-15.389976,35.363563,2,8,15,218,1260,250,0,0
"36","303015690036",0,0,0,0,0,7,3,4,7,3,6,7,5,5,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",20,"May",2016,0,0,693196.0625,231065.359375,2800.41918945312,2800.41918945312,0,0,-15.389976,35.363563,2,9,12,218,1260,250,1,1
"37","303015690042",0,0,0,1,0,7,7,7,7,2,2,0,7,7,7,4,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",20,"May",2016,0,0,765162.5625,255054.1875,0,0,0,0,-15.389976,35.363563,2,9,13,218,1260,250,1,1
"38","303015690049",0,0,0,1,1,7,3,3,7,3,1,0,7,7,7,7,"christianity",1,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",19,"May",2016,0,0,1628691.75,407172.9375,22403.3515625,14002.095703125,8401.2568359375,0,-15.389976,35.363563,2,9,12,218,1260,250,1,1
"39","303015690064",0,0,0,0,24,7,3,7,7,5,2,7,7,7,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",20,"May",2016,0,0,3839734,767946.8125,27304.0859375,27304.0859375,0,0,-15.389976,35.363563,3,9,12,218,1260,250,1,1
"40","303015690071",0,0,0,1,56,7,1,3,7,3,6,5,7,7,5,7,"islam",0,"It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",1,"rural","Zomba Non-City",23,"May",2016,0,0,2532813.75,361830.53125,53207.9609375,53207.9609375,0,0,-15.389976,35.363563,2,8,14,215,1270,250,1,0
"41","303015690078",0,0,0,0,0,7,3,2,4,0,1,4,7,7,7,7,"christianity",0,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs",0,"rural","Zomba Non-City",20,"May",2016,1,0,639776.1875,127955.234375,32969.55078125,30384.546875,0,2585.00219726562,-15.389976,35.363563,2,8,13,216,1263,450,1,1
"42","303015690093",0,0,0,0,0,7,2,2,7,0,2,0,7,7,7,7,"christianity",0,"It was more than adequate for household needs","It was just adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs",0,"rural","Zomba Non-City",23,"May",2016,0,0,983634.375,196726.875,104735.671875,33605.02734375,71130.6484375,0,-15.389976,35.363563,2,8,12,216,1263,450,1,1
"43","303015690100",0,0,0,1,14,7,1,2,7,1,2,0,7,1,7,7,"christianity",0,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",21,"May",2016,0,0,1039946.1875,148563.734375,132179.78125,36965.53125,74211.109375,21003.142578125,-15.389976,35.363563,2,8,13,216,1263,450,1,1
"44","303015690107",0,0,0,0,0,7,1,2,7,0,3,0,7,3,7,7,"none",1,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",19,"May",2016,1,0,868268.625,124038.375,44806.70703125,44806.70703125,0,0,-15.389976,35.363563,2,8,13,218,1260,250,1,1
"45","303015690120",0,0,0,1,0,7,2,4,7,7,5,1,7,7,7,7,"islam",1,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",21,"May",2016,0,0,1643622.125,234803.15625,57473.21484375,54188.109375,0,3285.10693359375,-15.389976,35.363563,2,8,13,218,1260,250,1,1
"46","303015690127",0,0,0,0,0,7,3,2,7,5,4,0,7,7,7,6.75,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",23,"May",2016,0,0,1108223.5,277055.875,57408.59375,8401.2568359375,49007.3359375,0,-15.389976,35.363563,2,8,13,216,1263,450,1,0
"47","303015690134",0,0,0,0,0,7,1,3,7,3,1,0,3,4,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",20,"May",2016,1,0,692370.1875,115395.03125,7281.08984375,7281.08984375,0,0,-15.389976,35.363563,2,8,13,216,1269,250,1,1
"48","303015690148",0,0,0,0,0,7,1,3,7,5,1,0,7,2,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",21,"May",2016,0,0,675883.25,168970.8125,23859.5703125,23859.5703125,0,0,-15.389976,35.363563,2,8,12,218,1260,250,1,1
"49","303025700006",0,0,0,1,3,5,0,2,5,2,0,0,3,1,7,5,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",25,"January",2017,1,1,418923.5625,83784.7109375,22629.900390625,0,22629.900390625,0,-15.38839,35.467089,10,16,13,221,1291,350,1,1
"50","303025700017",0,0,0,0,0,7,0,0,7,2,0,0,0,0,7,4.66666666666667,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"January",2017,1,0,292230.8125,97410.2734375,0,0,0,0,-15.38839,35.467089,10,16,13,222,1288,350,1,1
"51","303025700033",0,0,0,0,9,7,0,0,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",26,"January",2017,1,0,135112.0625,135112.0625,0,0,0,0,-15.38839,35.467089,10,16,13,222,1288,350,0,1
"52","303025700086",0,0,0,0,84,7,0,1,7,3,1,0,7,4,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",27,"January",2017,1,0,659466,131893.203125,4023.09350585938,4023.09350585938,0,0,-15.38839,35.467089,10,16,13,222,1284,750,1,1
"53","303025700103",0,0,0,1,7,7,0,6,7,7,3,0,7,4,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",23,"April",2017,0,0,1102859.25,137857.40625,3904.56323242188,3904.56323242188,0,0,-15.38839,35.467089,9,16,14,222,1284,750,1,1
"54","303025700113",0,0,0,0,10,7,0,0,4,1,0,0,4,2,7,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",24,"January",2017,1,1,314679.34375,44954.19140625,5028.86669921875,5028.86669921875,0,0,-15.38839,35.467089,9,16,20,221,1280,350,1,1
"55","303025700140",0,0,0,0,3,7,1,2,7,2,0,0,3,0,7,7,"christianity",0,"It was less than adequate for household needs","It was more than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",25,"January",2017,0,0,380362.46875,190181.234375,754.330017089844,754.330017089844,0,0,-15.38839,35.467089,11,16,14,222,1288,350,1,1
"56","303025700167",0,0,0,0,7,7,0,1,3,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",25,"January",2017,1,0,259417.5,129708.75,4148.8154296875,4148.8154296875,0,0,-15.38839,35.467089,11,17,13,222,1290,350,1,1
"57","303025700220",0,0,0,0,19,7,0,3,5,1,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"January",2017,1,0,326242.46875,108747.4921875,0,0,0,0,-15.38839,35.467089,11,17,13,222,1285,450,1,1
"58","303025700247",0,0,0,0,45,7,0,3,6,4,0,0,7,6,7,4.83333333333333,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",25,"January",2017,0,0,1092242.875,182040.484375,3872.2275390625,3771.65014648438,100.577339172363,0,-15.38839,35.467089,10,17,15,222,1285,450,1,1
"59","303025700274",0,0,0,0,15,7,0,0,7,2,4,0,3,3,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",24,"January",2017,0,0,417529.65625,139176.546875,5154.58837890625,5154.58837890625,0,0,-15.38839,35.467089,10,15,14,221,1289,350,1,1
"60","303025700300",0,0,0,0,4,7,0,4,6,1,0,0,4,5,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",25,"January",2017,0,0,178289.296875,178289.296875,2514.43334960938,2514.43334960938,0,0,-15.38839,35.467089,9,15,12,221,1286,250,1,1
"61","303025700327",0,0,0,0,74,7,0,3,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",24,"January",2017,0,0,330443.09375,165221.546875,0,0,0,0,-15.38839,35.467089,9,15,12,221,1286,250,0,1
"62","303025700354",0,0,0,0,25,5,0,2,2,1,1,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",26,"January",2017,0,0,179810.671875,179810.671875,0,0,0,0,-15.38839,35.467089,9,15,15,221,1281,150,0,1
"63","303025700381",0,0,0,0,34,7,0,3,7,0,0,0,0,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",25,"January",2017,1,1,243289.234375,48657.84765625,754.330017089844,754.330017089844,0,0,-15.38839,35.467089,10,15,15,222,1288,350,1,1
"64","303025700407",0,0,0,1,35,7,0,2,7,0,0,0,1,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",25,"January",2017,1,0,306830.40625,102276.8046875,2021.21765136719,377.165008544922,1644.05261230469,0,-15.38839,35.467089,10,15,13,222,1288,350,1,1
"65","303025710010",0,1,1,0,10,7,0,2,7,2,7,1,5,7,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"October",2016,0,0,889431.3125,296477.09375,1565.66394042969,1565.66394042969,0,0,-15.420275,35.394941,7,11,13,217,1288,250,1,1
"66","303025710021",0,1,1,0,0,7,0,3,3,2,7,0,3,5,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",27,"October",2016,0,0,813301.625,271100.53125,15656.6396484375,0,15656.6396484375,0,-15.420275,35.394941,8,11,12,217,1288,250,1,1
"67","303025710031",0,1,1,0,18,7,0,5,6,4,7,0,7,4,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",27,"October",2016,0,0,956937.375,159489.5625,11702.3349609375,10698.7041015625,0,1003.63073730469,-15.420275,35.394941,8,11,15,217,1292,250,1,1
"68","303025710052",0,1,1,1,49,7,0,1,3,1,7,0,3,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"October",2016,0,0,767033.75,153406.75,51787.34765625,15656.6396484375,11742.4794921875,24388.228515625,-15.420275,35.394941,8,12,12,217,1294,250,1,1
"69","303025710063",0,1,1,0,8,7,2,2,5,1,6,0,6,7,7,5.71428571428571,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"October",2016,1,0,735985.9375,105140.8515625,1043.77600097656,1043.77600097656,0,0,-15.420275,35.394941,8,12,13,217,1294,250,1,1
"70","303025710073",0,1,1,0,34,7,2,0,2,4,4,0,2,4,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",27,"October",2016,1,0,509489.09375,101897.8203125,0,0,0,0,-15.420275,35.394941,8,12,13,217,1294,250,0,1
"71","303025710094",0,1,1,0,8,7,0,7,0,2,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"October",2016,0,0,236530.703125,236530.703125,1304.71997070312,1304.71997070312,0,0,-15.420275,35.394941,8,12,15,218,1288,350,1,1
"72","303025710105",0,1,1,0,12,7,1,2,7,1,7,0,7,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"October",2016,0,0,486929.6875,243464.84375,0,0,0,0,-15.420275,35.394941,8,12,15,217,1294,250,0,1
"73","303025710115",0,1,1,0,8,7,2,2,7,4,7,0,5,7,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",29,"October",2016,1,0,574591.625,114918.328125,0,0,0,0,-15.420275,35.394941,8,11,13,217,1288,250,0,1
"74","303025710136",0,1,1,0,35,7,0,3,2,3,5,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",29,"October",2016,0,0,494989.15625,164996.390625,0,0,0,0,-15.420275,35.394941,8,12,13,217,1294,250,1,0
